Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-09-01,15.2993,15.2993,15.1128,15.1128,373.035971208
2023-09-04,15.1128,15.2527,14.9728,15.1594,1032.280575498
2023-09-05,15.1128,15.206,15.1128,15.206,278.70503596
2023-09-06,15.206,15.2993,15.206,15.2993,1055.86330931
2023-09-07,15.4859,15.4859,14.9262,15.2993,2402.223021486
2023-09-08,15.346,15.6258,15.0195,15.6258,1356.00719419
2023-09-11,15.1594,15.6725,15.1594,15.6725,1766.561151008
2023-09-12,15.4859,15.4859,15.2527,15.2527,98.618705032
2023-09-13,15.2993,15.4859,15.1128,15.4859,3990.841726458
2023-09-14,15.4859,15.4859,15.1594,15.3926,110.410071938
2023-09-15,15.3926,15.3926,15.206,15.206,1175.920863262
2023-09-18,15.3926,15.3926,15.206,15.206,184.374100712
2023-09-19,15.206,15.2993,15.1594,15.2993,646.381294938
2023-09-20,15.2993,15.3926,15.2993,15.3926,744.99999997
2023-09-21,15.3926,15.3926,15.0661,15.2993,62.172661868
2023-09-22,15.2993,15.2993,15.2993,15.2993,2.143884892
2023-09-25,15.2993,15.2993,15.2993,15.2993,48.23741007
2023-09-26,15.2993,15.3926,15.1128,15.3926,785.733812918
2023-09-27,15.3926,15.3926,15.1128,15.3926,469.510791348
2023-09-28,15.3926,15.3926,15.1128,15.3926,1606.841726554
2023-09-29,15.3926,15.3926,15.3926,15.3926,2.143884892
2023-10-02,15.6725,16.7919,15.6725,16.5587,10903.798560712
2023-10-03,16.3255,16.6987,16.3255,16.6987,2336.83453228
2023-10-04,16.6054,16.6054,16.3721,16.5587,12.863309352
2023-10-05,16.7919,16.7919,16.3255,16.6987,1214.510791318
2023-10-06,16.7919,16.7919,16.1856,16.652,2127.80575531
2023-10-09,16.652,16.7453,16.3255,16.7453,1158.769784126
2023-10-10,16.6987,16.6987,16.3721,16.6054,1461.057553898
2023-10-11,16.6987,16.6987,16.3255,16.3255,448.071942428
2023-10-12,16.7453,16.7453,16.6054,16.6054,1729.043165398
2023-10-13,16.7453,16.7453,16.1856,16.7453,26.79856115
2023-10-16,16.3255,16.4188,16.0923,16.3255,14022.079136126
2023-10-17,16.3255,16.3255,16.0923,16.3255,958.316546724
2023-10-18,16.3255,16.3255,16.0923,16.3255,1213.438848872
2023-10-19,16.3255,16.3255,15.5326,15.5326,876.848920828
2023-10-20,16.0923,16.0923,16.0923,16.0923,2.143884892
2023-10-23,15.999,16.1856,15.999,16.1856,38.589928056
2023-10-24,16.1856,16.6987,15.9057,16.652,2127.80575531
2023-10-25,16.6987,16.6987,16.3255,16.3255,10782.669064314
2023-10-26,16.6987,16.8852,16.6054,16.8852,6372.69784147
2023-10-27,17.1651,17.1651,16.8852,17.1651,842.546762556
2023-10-30,17.1651,17.5383,16.8852,17.5383,12825.79136639
2023-10-31,17.5383,18.4245,17.5383,18.1446,4301.705035798
2023-11-02,18.5644,18.5644,17.8648,17.8648,125.417266182
2023-11-03,18.4711,18.5178,17.3983,18.1446,3013.230215706
2023-11-06,18.098,18.1446,17.3983,18.1446,710.697841698
2023-11-07,18.098,18.098,18.098,18.098,10.71942446
2023-11-08,18.098,18.098,18.098,18.098,45.021582732
2023-11-09,18.098,18.1446,17.3983,18.1446,4953.446042966
2023-11-10,18.3312,18.3312,17.5383,18.098,169.366906468
2023-11-13,18.5178,18.9376,17.6315,18.9376,13.935251798
2023-11-14,18.751,18.751,18.2846,18.3779,644.237410046
2023-11-15,18.6577,18.6577,17.6782,18.5178,902.575539532
2023-11-16,18.6577,18.6577,18.5178,18.5178,648.52517983
2023-11-17,18.6577,18.6577,18.6111,18.6111,219.74820143
2023-11-20,18.6111,18.9376,18.6111,18.8443,4060.517985448
2023-11-21,19.1242,20.7101,19.0309,20.057,3803.251798408
2023-11-22,20.057,20.6168,19.8705,19.8705,973.323740968
2023-11-23,20.7101,24.0685,20.5235,22.7624,27942.323739882
2023-11-24,23.3221,25.0013,23.3221,23.7886,19202.776977644
